,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
1,17:02:00,Monday,Male,Office areas,Public (> 45 seats),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2,17:02:00,Monday,Male,  Recreational areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
3,1:06:00,Sunday,Male,Office areas,Public (> 45 seats),other,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal
7,17:20:00,Friday,Male,Residential areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
8,17:20:00,Friday,Male, Industrial areas,Lorry (41?100Q),other,Y Shape,Earth roads,Dry,Daylight,Normal
9,17:20:00,Friday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10,14:40:00,Saturday,Male,Residential areas,Public (13?45 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
11,14:40:00,Saturday,Male,Office areas,Automobile,Undivided Two way,No junction,Earth roads,Dry,Daylight,Normal
12,17:45:00,Thursday,Male,Office areas,Public (> 45 seats),Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
13,17:45:00,Thursday,Male,Office areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
14,17:45:00,Thursday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
15,22:45:00,Monday,Female,Office areas,Lorry (11?40Q),One way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
16,22:45:00,Monday,Male,Office areas,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
17,22:45:00,Monday,Male,Office areas,Public (13?45 seats),other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
19,8:20:00,Tuesday,Male,Residential areas,Long lorry,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
20,8:20:00,Tuesday,Male,Other,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
21,15:10:00,Thursday,Male, Church areas,Lorry (11?40Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
22,12:11:00,Thursday,Male,  Recreational areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
23,12:11:00,Thursday,Male, Industrial areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
25,18:36:00,Wednesday,Male,Residential areas,Taxi,other,Crossing,Asphalt roads,Dry,Daylight,Normal
27,14:35:00,Friday,Male,  Market areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
29,12:25:00,Tuesday,Male, Industrial areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
30,15:30:00,Monday,Male,Residential areas,Automobile,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
31,18:10:00,Thursday,Male,Residential areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
32,15:25:00,Thursday,Male,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
33,15:25:00,Thursday,Unknown,Residential areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
34,13:57:00,Saturday,Male,Rural village areas,Automobile,Undivided Two way,O Shape,Asphalt roads,Dry,Daylight,Normal
35,13:57:00,Saturday,Male,Rural village areas,Automobile,Undivided Two way,O Shape,Asphalt roads,Dry,Daylight,Normal
36,20:30:00,Friday,Male,Office areas,Taxi,Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
39,16:30:00,Sunday,Male, Outside rural areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
40,16:30:00,Sunday,Male,Residential areas,Pick up upto 10Q,other,No junction,Asphalt roads,Dry,Daylight,Normal
42,21:50:00,Sunday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
43,9:12:00,Wednesday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
44,9:12:00,Wednesday,Male,Office areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Dry,Daylight,Normal
45,14:40:00,Friday,Male,Other,Lorry (11?40Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
46,10:36:00,Friday,Male,Other,Stationwagen,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
47,10:36:00,Friday,Male,Residential areas,Ridden horse,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
48,18:19:00,Monday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
49,18:19:00,Monday,Male,Other,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
50,19:12:00,Tuesday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
51,19:12:00,Tuesday,Male,Other,Other,Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
52,11:38:00,Saturday,Male,Other,Taxi,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
53,11:38:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
54,11:38:00,Saturday,Male, Church areas,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
55,11:38:00,Saturday,Unknown,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
56,13:30:00,Thursday,Male, Industrial areas,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
58,12:39:00,Tuesday,Unknown,Other,Automobile,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Wet or damp,Daylight,Raining
59,12:39:00,Tuesday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Unknown,Gravel roads,Wet or damp,Daylight,Raining
61,12:30:00,Friday,Male, Industrial areas,Public (> 45 seats),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
63,16:55:00,Sunday,Male, Hospital areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
64,18:25:00,Monday,Female,Office areas,Public (12 seats),One way,No junction,Earth roads,Dry,Daylight,Normal
65,18:25:00,Monday,Male, Church areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
68,13:45:00,Wednesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Gravel roads,Dry,Daylight,Normal
69,13:45:00,Wednesday,Male,Office areas,Public (12 seats),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
